Id,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Response,EnrollmentYears,IsMarried,HouseholdSize,MntPerCapita,Age,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD
0,70951.0,66,5.480638923341991,2.3978952727983707,6.318968113746434,5.541263545158426,4.477336814478207,4.007333185232471,0.6931471805599453,1.7320508075688772,2.0,2.302585092994046,0,11,1,2,14.111717927377951,39,False,False,True,False,False
1,57091.0,0,6.142037405587356,1.791759469228055,4.174387269895637,2.0794415416798357,0.0,3.6375861597263857,0.6931471805599453,2.6457513110645907,1.7320508075688772,2.0794415416798357,1,10,0,1,17.82521184611727,63,False,False,True,False,False
9,46098.0,86,4.060443010546419,0.0,3.332204510175204,0.0,0.0,3.6109179126442243,1.6094379124341003,1.7320508075688772,1.4142135623730951,1.0986122886681098,0,12,0,3,3.6678551444552823,49,False,False,False,True,False
13,25358.0,57,2.995732273553991,0.0,1.791759469228055,0.0,0.0,2.1972245773362196,1.0986122886681098,1.0,0.0,1.3862943611198906,0,11,0,2,3.4923581600591325,77,False,False,False,False,True
17,60491.0,81,6.45833828334479,3.871201010907891,5.472270673671475,2.5649493574615367,2.995732273553991,4.343805421853684,1.6094379124341003,2.449489742783178,3.3166247903554,2.0794415416798357,0,11,1,3,8.56876567359779,53,False,False,False,False,True
20,46891.0,91,3.784189633918261,2.5649493574615367,3.1780538303479458,3.4011973816621555,2.772588722239781,4.127134385045092,0.6931471805599453,1.4142135623730951,1.0,1.6094379124341003,0,11,1,3,6.609371103558257,59,True,False,False,False,False
22,46310.0,99,5.225746673713202,1.0986122886681098,4.48863636973214,2.772588722239781,1.791759469228055,2.70805020110221,1.0986122886681098,2.449489742783178,1.0,1.791759469228055,0,12,0,2,9.04269686234175,48,False,False,True,False,False
24,17144.0,96,2.9444389791664403,1.0986122886681098,2.995732273553991,0.0,1.0986122886681098,1.9459101490553132,1.791759469228055,1.7320508075688772,0.0,1.6094379124341003,0,10,1,4,2.520826494777991,64,False,False,False,True,False
25,65148.0,9,6.133398042996649,3.58351893845611,6.0473721790462776,3.5263605246161616,2.5649493574615367,5.0369526024136295,1.0986122886681098,2.449489742783178,2.449489742783178,2.0794415416798357,0,12,1,3,8.964183881663454,66,False,False,True,False,False
35,25545.0,35,3.4965075614664802,0.6931471805599453,4.174387269895637,2.833213344056216,2.5649493574615367,4.454347296253507,1.3862943611198906,1.4142135623730951,1.4142135623730951,1.3862943611198906,1,12,1,3,6.072184003231108,37,False,False,True,False,False
